Epoch,Learn rate,Avg Train loss,Train Accuracy,Avg Eval loss,Eval accuracy
0,0.0,6.047591141292027,0.004917689732142857,6.092714786529541,0.005810546875
1,1.2228496751951975e-06,6.03598860331944,0.006940569196428571,6.058726978302002,0.007666015625
0,0.0,6.127735137939453,0.0,6.192847728729248,0.000244140625
1,1.7469281074217108e-07,6.183933734893799,0.00048828125,6.190790176391602,0.000244140625
2,3.4938562148434215e-07,6.173899173736572,0.001220703125,6.195539951324463,0.000732421875
3,5.240784322265132e-07,6.148828029632568,0.0,6.184168338775635,0.001220703125
4,6.987712429686843e-07,6.16590690612793,0.000244140625,6.194985866546631,0.000244140625
5,8.734640537108554e-07,6.20042085647583,0.000732421875,6.165769100189209,0.0
6,1.0481568644530265e-06,6.167668342590332,0.0,6.171768665313721,0.0009765625
7,1.2228496751951975e-06,6.164257049560547,0.000244140625,6.146800994873047,0.000244140625
8,1.3975424859373686e-06,6.102431297302246,0.0,6.1510467529296875,0.000732421875
9,1.5722352966795397e-06,6.1264424324035645,0.000732421875,6.1554131507873535,0.00048828125
10,1.7469281074217108e-06,6.0933942794799805,0.00048828125,6.146316051483154,0.001220703125
0,0.0,6.169094085693359,0.001220703125,6.166076183319092,0.003662109375
1,1.7469281074217108e-07,6.203432083129883,0.001708984375,6.133291244506836,0.00390625
2,3.4938562148434215e-07,6.122348308563232,0.002197265625,6.178802967071533,0.0029296875
3,5.240784322265132e-07,6.184322357177734,0.00146484375,6.153552532196045,0.002685546875
4,6.987712429686843e-07,6.12783145904541,0.002685546875,6.149609565734863,0.00439453125
5,8.734640537108554e-07,6.1664252281188965,0.001220703125,6.146983623504639,0.00439453125
6,1.0481568644530265e-06,6.140084266662598,0.002685546875,6.139308929443359,0.003662109375
7,1.2228496751951975e-06,6.101377964019775,0.001953125,6.158679962158203,0.0029296875
8,1.3975424859373686e-06,6.12522554397583,0.0029296875,6.137057781219482,0.003173828125
9,1.5722352966795397e-06,6.13010835647583,0.002685546875,6.129486560821533,0.0048828125
10,1.7469281074217108e-06,6.138874530792236,0.00244140625,6.13018274307251,0.00341796875
11,1.9216209181638816e-06,6.1036882400512695,0.0009765625,6.105582237243652,0.006103515625
12,2.096313728906053e-06,6.098930358886719,0.001708984375,6.129799842834473,0.004638671875
13,2.271006539648224e-06,6.1104536056518555,0.003173828125,6.1079888343811035,0.005126953125
14,2.445699350390395e-06,6.120164394378662,0.001708984375,6.084519386291504,0.005859375
15,2.620392161132566e-06,6.056692123413086,0.001953125,6.064366817474365,0.00439453125
16,2.7950849718747372e-06,6.024189472198486,0.00390625,6.079194068908691,0.0048828125
17,2.9697777826169085e-06,6.01248025894165,0.009765625,6.0318193435668945,0.00439453125
18,3.1444705933590794e-06,6.0701494216918945,0.004150390625,6.061654090881348,0.004150390625
19,3.3191634041012502e-06,5.9841790199279785,0.01318359375,6.043058395385742,0.0087890625
20,3.4938562148434215e-06,5.94713020324707,0.009521484375,6.013582229614258,0.010009765625
21,3.668549025585593e-06,5.992682933807373,0.01416015625,6.010891437530518,0.0126953125
22,3.843241836327763e-06,5.962004661560059,0.028076171875,5.993232250213623,0.0185546875
23,4.0179346470699345e-06,5.951874256134033,0.031494140625,5.945462703704834,0.02197265625
24,4.192627457812106e-06,5.997763156890869,0.027099609375,5.971038818359375,0.029052734375
25,4.367320268554277e-06,5.855694770812988,0.049560546875,5.94090461730957,0.048095703125
26,4.542013079296448e-06,5.913044452667236,0.05908203125,5.944493293762207,0.046142578125
27,4.716705890038619e-06,5.8336100578308105,0.0673828125,5.899839401245117,0.0517578125
28,4.89139870078079e-06,5.883176326751709,0.043701171875,5.863628387451172,0.05615234375
29,5.066091511522961e-06,5.803030967712402,0.06640625,5.8951416015625,0.042724609375
30,5.240784322265132e-06,5.825305461883545,0.073974609375,5.87522554397583,0.0380859375
31,5.415477133007303e-06,5.744947910308838,0.065185546875,5.90540075302124,0.033935546875
32,5.5901699437494744e-06,5.796641826629639,0.068359375,5.849710464477539,0.04150390625
33,5.764862754491646e-06,5.725645065307617,0.061767578125,5.818884372711182,0.042236328125
34,5.939555565233817e-06,5.812066555023193,0.0693359375,5.76598596572876,0.06005859375
35,6.1142483759759874e-06,5.6673502922058105,0.06640625,5.7884039878845215,0.046875
36,6.288941186718159e-06,5.738613605499268,0.062744140625,5.771345138549805,0.048583984375
37,6.46363399746033e-06,5.615915298461914,0.070556640625,5.741455078125,0.047607421875
38,6.6383268082025005e-06,5.656565189361572,0.05908203125,5.803205490112305,0.03271484375
39,6.813019618944672e-06,5.60554838180542,0.09326171875,5.740962982177734,0.040283203125
40,6.987712429686843e-06,5.658292770385742,0.056884765625,5.756080150604248,0.04150390625
41,7.162405240429014e-06,5.679543495178223,0.051513671875,5.739407539367676,0.036376953125
42,7.337098051171186e-06,5.5494561195373535,0.073486328125,5.691098213195801,0.04052734375
43,7.511790861913356e-06,5.624781608581543,0.070556640625,5.67525053024292,0.0390625
44,7.686483672655526e-06,5.583795070648193,0.04736328125,5.573489665985107,0.058837890625
45,7.861176483397698e-06,5.6598219871521,0.047119140625,5.596583366394043,0.0498046875
46,8.035869294139869e-06,5.478342533111572,0.064453125,5.59851598739624,0.051025390625
47,8.21056210488204e-06,5.634521007537842,0.042236328125,5.6554856300354,0.0380859375
48,8.385254915624212e-06,5.546523571014404,0.063720703125,5.595006942749023,0.0478515625
49,8.559947726366383e-06,5.434331893920898,0.056884765625,5.538649082183838,0.05126953125
50,8.734640537108554e-06,5.4026031494140625,0.057373046875,5.47458028793335,0.0615234375
51,8.909333347850726e-06,5.443142414093018,0.069580078125,5.612070083618164,0.03662109375
52,9.084026158592897e-06,5.39307165145874,0.05615234375,5.578471660614014,0.038330078125
53,9.258718969335066e-06,5.486728191375732,0.06591796875,5.531455039978027,0.049560546875
54,9.433411780077238e-06,5.416706562042236,0.054443359375,5.577000617980957,0.03564453125
55,9.608104590819409e-06,5.384034633636475,0.070068359375,5.55427885055542,0.03466796875
56,9.78279740156158e-06,5.4390645027160645,0.0576171875,5.49592399597168,0.04248046875
57,9.957490212303752e-06,5.375392913818359,0.078369140625,5.512859344482422,0.04638671875
58,1.0132183023045923e-05,5.2932257652282715,0.065673828125,5.5111494064331055,0.040283203125
59,1.0306875833788094e-05,5.467566967010498,0.056884765625,5.511510848999023,0.0361328125
60,1.0481568644530264e-05,5.406830310821533,0.0634765625,5.392166614532471,0.054443359375
61,1.0656261455272435e-05,5.3526201248168945,0.0556640625,5.443077087402344,0.05517578125
62,1.0830954266014606e-05,5.277981281280518,0.05712890625,5.433040618896484,0.0478515625
63,1.1005647076756778e-05,5.400662422180176,0.06640625,5.4440836906433105,0.039306640625
64,1.1180339887498949e-05,5.373842716217041,0.02880859375,5.430179119110107,0.03515625
65,1.135503269824112e-05,5.404872894287109,0.059326171875,5.340446472167969,0.047607421875
66,1.1529725508983291e-05,5.286707401275635,0.045166015625,5.395714282989502,0.04345703125
67,1.1704418319725463e-05,5.342458724975586,0.0615234375,5.373940944671631,0.04052734375
68,1.1879111130467634e-05,5.2963056564331055,0.045654296875,5.329384803771973,0.047607421875
69,1.2053803941209804e-05,5.294965744018555,0.073486328125,5.338069915771484,0.044677734375
70,1.2228496751951975e-05,5.263286113739014,0.072021484375,5.379032135009766,0.04541015625
71,1.2403189562694146e-05,5.151439666748047,0.049560546875,5.365612030029297,0.051513671875
72,1.2577882373436317e-05,5.3575615882873535,0.048828125,5.351511478424072,0.038818359375
73,1.2752575184178489e-05,5.170839786529541,0.06005859375,5.3307785987854,0.046630859375
74,1.292726799492066e-05,5.327319145202637,0.0625,5.349916934967041,0.035888671875
75,1.3101960805662831e-05,5.347287654876709,0.060791015625,5.300294876098633,0.0341796875
76,1.3276653616405001e-05,5.313549041748047,0.068115234375,5.400606155395508,0.034912109375
77,1.3451346427147172e-05,5.3195390701293945,0.05322265625,5.347242832183838,0.03369140625
78,1.3626039237889344e-05,5.265237808227539,0.05712890625,5.394586563110352,0.0341796875
79,1.3800732048631515e-05,5.229265213012695,0.074951171875,5.225702285766602,0.052734375
80,1.3975424859373686e-05,5.324466705322266,0.052001953125,5.312713146209717,0.03662109375
81,1.4150117670115857e-05,5.152435302734375,0.079833984375,5.305423259735107,0.039794921875
82,1.4324810480858029e-05,5.256501197814941,0.063232421875,5.238293170928955,0.045654296875
83,1.44995032916002e-05,5.276712417602539,0.056396484375,5.262360095977783,0.039794921875
84,1.4674196102342371e-05,5.053481578826904,0.068115234375,5.317681312561035,0.041259765625
85,1.484888891308454e-05,5.091264247894287,0.06396484375,5.265441417694092,0.042236328125
86,1.5023581723826712e-05,5.238527774810791,0.057861328125,5.294760227203369,0.034912109375
87,1.5198274534568883e-05,5.139758586883545,0.047119140625,5.241492748260498,0.0439453125
88,1.5372967345311053e-05,5.250154495239258,0.042236328125,5.20109224319458,0.05078125
89,1.5547660156053224e-05,5.125278949737549,0.0830078125,5.183578014373779,0.0576171875
90,1.5722352966795396e-05,5.167956829071045,0.067626953125,5.278100490570068,0.03857421875
91,1.5897045777537567e-05,5.035151958465576,0.057861328125,5.202475547790527,0.040283203125
92,1.6071738588279738e-05,5.157991409301758,0.071044921875,5.259071350097656,0.0439453125
93,1.624643139902191e-05,4.957244396209717,0.068115234375,5.220739364624023,0.04052734375
94,1.642112420976408e-05,5.154982566833496,0.07080078125,5.093367576599121,0.056884765625
95,1.6595817020506252e-05,5.134074687957764,0.050048828125,5.187038421630859,0.050048828125
96,1.6770509831248423e-05,4.989052772521973,0.07666015625,5.269464492797852,0.045654296875
97,1.6945202641990595e-05,5.151272296905518,0.03857421875,5.081474304199219,0.054931640625
98,1.7119895452732766e-05,5.111228942871094,0.06103515625,5.218966484069824,0.041259765625
99,1.7294588263474937e-05,5.131239891052246,0.0595703125,5.276525020599365,0.038330078125
100,1.746928107421711e-05,5.157692909240723,0.06005859375,5.135808944702148,0.052978515625
0,0.0,6.23638916015625,0.0,6.183379173278809,0.00048828125
